cell_id,x_m,y_m,zone_id,priority,agronomic_feature_1,agronomic_feature_2,agronomic_feature_3,agronomic_feature_4,agronomic_feature_5,agronomic_feature_6,agronomic_feature_7,agronomic_feature_8
1,25.0,25.0,1,0.7784141654072523,0.09354968569446125,0.05030697056976491,0.1549586043931762,0.2337748224697842,0.06252019412621304,0.6294173164434361,0.21870538119010724,0.05293418829906347
2,75.0,25.0,1,0.8467545499569905,0.1826395917426406,0.05129557470307839,0.27691701364344223,0.30489844373422137,0.12233980144831276,0.6890378623215709,0.33688759864151085,0.05615153103000554
3,125.0,25.0,2,0.8804568014770826,0.2903857584150566,0.05516331093289029,0.4408789660813261,0.3403754384467857,0.20974836221485144,0.6186244201429227,0.41644739147165083,0.06230832815710253
4,175.0,25.0,2,0.6283737790613327,0.39530559493605527,0.06836473188964484,0.5842778682943469,0.3261815466769052,0.25928934102231266,0.47220003074883715,0.39834864734201464,0.07194388124294789
5,225.0,25.0,3,0.81560846863506,0.5947618845857531,0.10369702998534427,0.6335907589345948,0.26532762263889154,0.43459999263251636,0.31033556966047393,0.2921090192549402,0.08298029798134353
6,275.0,25.0,3,0.9751592219785473,0.8044920989139115,0.17033020477438973,0.5680018778051016,0.17980065786225086,0.7642190809297077,0.17158508522625804,0.17055063119398148,0.09049454189301631
7,325.0,25.0,4,0.8387552388030513,0.7481443754922674,0.24794805815529442,0.43162234459850196,0.1105577690929817,0.8903148741511068,0.09005291198464348,0.09223969012904212,0.09000604828199105
8,375.0,25.0,4,0.6944614318039808,0.4792552173077548,0.2837203842340259,0.28751037964089604,0.0731850812513147,0.6125259443574314,0.0597876985516749,0.06027730764145362,0.08157884760849964
9,25.0,75.0,1,0.7205945277464783,0.11652624060744607,0.054931738898993054,0.23038837621984443,0.3185324572561292,0.08797923255426182,0.6127026847343385,0.5245869336372351,0.07352470127732633
10,75.0,75.0,1,0.7738437264911228,0.24995986725379477,0.061114150959399205,0.4497872416842057,0.4272219576264082,0.26823078202323886,0.6846582859479774,0.828209524945491,0.08690151514492594
11,125.0,75.0,2,0.6528075868739502,0.39935287282033877,0.0769762992231774,0.7384592133793049,0.5152233094236452,0.5160421128323499,0.6258120444075322,1.0,0.10575486194963488
12,175.0,75.0,2,0.5553360554964499,0.5166635258832784,0.12320561834013659,0.9669407309379595,0.5953237883257834,0.5509687225277206,0.5137553826391481,0.9104468572061079,0.13097474282093974
13,225.0,75.0,3,0.742052878385373,0.7497479769319868,0.24232287724923973,1.0,0.5688063889526644,0.670217068243348,0.3733569316630625,0.6217368955923872,0.1576981071644883
14,275.0,75.0,3,0.8291210682858945,1.0,0.465364128606889,0.8285692109767904,0.3619165720318529,0.9557499355335894,0.20686913817243358,0.32426068655037477,0.17388036084447517
15,325.0,75.0,4,0.6475734913100117,0.8926086160637482,0.7244657415755323,0.5682549301525919,0.1689251549861572,0.9957362009991714,0.09532697433649678,0.14343121846380819,0.16835531120724734
16,375.0,75.0,4,0.8111013384040204,0.5289827006142644,0.8423590569648459,0.33891845916108904,0.0870307932095844,0.6509520477314504,0.05804979918940681,0.07229691724098813,0.14183182623015628
17,25.0,125.0,1,0.7086891137773978,0.09512728907561781,0.12514715652778008,0.1927909797254454,0.16416886791789326,0.10399842207172962,0.7995925911512328,0.48176176463659276,0.1893123519922475
18,75.0,125.0,1,0.8330921766170201,0.18449358155049528,0.18341250934210707,0.3678153988510131,0.22722041786784442,0.361766339852832,0.9090790953823848,0.777176394831865,0.22996592046554937
19,125.0,125.0,2,0.9751957550704928,0.28149958242835144,0.252193569874503,0.5966086881775006,0.3754192240240443,0.7263088141913652,0.8560130030828024,0.968147717389901,0.2657288070755239
20,175.0,125.0,2,0.5606023969045864,0.3604765794356083,0.3320114466445297,0.7730679821611662,0.7071048509186851,0.7941412092178506,0.7661237854334196,0.9126392745499774,0.30061711789695356
21,225.0,125.0,3,0.7576841359499936,0.5379764149736405,0.4488997384947041,0.7891082027484454,0.8763576801503146,0.8777710544983458,0.6072576137981396,0.6435913022641317,0.33170726781433985
22,275.0,125.0,3,0.6399183333222642,0.7195660283556207,0.6283100211518619,0.6425402832567378,0.5454677440683406,1.0,0.3322105706611969,0.3435276737702419,0.34193687148424856
23,325.0,125.0,4,0.552174559843552,0.6076037921190872,0.8153697400588779,0.4319599398203123,0.1920114012680777,0.8516866533873263,0.12781398092192947,0.1525798980964088,0.31320444601725783
