uav_id,initial_x_m,initial_y_m,sensor_quality,battery_initial,payload_initial
1,0.0,27.272727272727273,0.8463259156801303,1.0,1.0
2,400.0,54.54545454545455,0.9399324260700399,1.0,1.0
3,109.0909090909091,0.0,0.8850821066193237,1.0,1.0
4,145.45454545454547,300.0,0.8136090658848903,1.0,1.0
5,0.0,136.36363636363637,0.9465756295235127,1.0,1.0
6,400.0,163.63636363636363,0.8537460252523279,1.0,1.0
7,254.54545454545453,0.0,0.9483916156641046,1.0,1.0
8,290.90909090909093,300.0,0.914642661334542,1.0,1.0
9,0.0,245.45454545454547,0.9688307567119893,1.0,1.0
10,400.0,272.72727272727275,0.954210133995804,1.0,1.0
