schema_version,campaign_id,epoch,design_trial_index,scenario_seed,agents,tasks,q,screened_elements,enumerated_feasible_sets,maximal_feasible_sets,maximum_cardinality,branch_and_bound_leaves,curvature,exact_optimum_value,exact_score_greedy_value,exact_score_greedy_ratio,zero_shortfall_certificate_slack,approximate_greedy_value,approximate_shortfall_sum,nonuniform_channel_certificate_slack,exact_optimum_crosscheck,feasibility_and_maximality_checks,finite_channel_checks
exact-oracle-audit-v1,SAT-COV-V1,1,1,4152013627,5,8,3,10,50,15,3,12,0.44126844971805101,0.6593320182154967,0.6593320182154967,1,0.46773638194087919,0.50805195724431174,0.15904127465338991,0.45510398270595348,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,2,1,4152013627,5,8,3,9,25,15,2,6,0.41800022647570856,0.58863358987088588,0.58673977887447237,0.99678269974904266,0.41452399453620614,0.47259794107394348,0.16727121507388568,0.44719713975838926,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,3,1,4152013627,5,8,3,11,36,24,2,7,0.4929261501910257,0.715573022660424,0.715573022660424,1,0.51070953803699737,0.59969538284724178,0.084113556933945927,0.46707524376034681,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,4,1,4152013627,5,8,3,12,61,24,3,6,0.5291925313930721,0.90083497018825121,0.90083497018825098,0.99999999999999978,0.64558254001475002,0.84125972301938823,0.033883828819413375,0.6148103364752795,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,5,1,4152013627,5,8,3,14,85,35,3,7,0.50948400193526289,0.79120799904849015,0.76177330031532609,0.96279777407639666,0.53632477323493821,0.68960397085175096,0.1740011478339592,0.61289623963024864,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,6,1,4152013627,5,8,3,15,121,50,3,14,0.56784167992590051,0.93367780889021113,0.93367780889021113,1,0.67198519675905777,0.81222700852741314,0.10962067001256934,0.64270833222082757,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,7,1,4152013627,5,8,3,15,121,50,3,28,0.57350805236393421,0.98027489299037107,0.98027489299037107,1,0.70595764544928796,0.81284676994225502,0.14890355580083811,0.66353572383032722,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,8,1,4152013627,5,8,3,17,186,90,3,14,0.59989346803378729,0.9758081365685336,0.9576225672817813,0.98136358101019472,0.6865567301303539,0.83385991856247355,0.34236913191655449,0.84811013447487626,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,9,1,4152013627,5,8,3,17,186,90,3,21,0.65195570959808502,1.1408458852377406,1.1280399554889373,0.98877505724961734,0.81564682261512811,0.94256711728284692,0.48639087750191645,1.0297332202099392,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,10,1,4152013627,5,8,3,18,215,108,3,21,0.67145954014153242,1.184720827542856,1.1751711626735299,0.99193931207478447,0.85248727780708089,1.0143746854283748,0.40067844866113167,1.0190906623447027,1,1,1
exact-oracle-audit-v1,SAT-COV-V1,11,1,4152013627,5,8,3,20,426,144,4,6,0.74217825860472042,1.4405710580865216,1.4405710580865214,0.99999999999999989,1.0556158372137343,1.2535557943230193,0.36904268785975014,1.1644518095674679,1,1,1
