campaign_id,seed,episode,exploration,selected_matching,zero_scale_matching,zero_scale_difference,optimal_matching,mode,true_value,optimal_value,value_ratio,observed_return,trajectory_fluctuation,trajectory_deviation,trajectory_sigma,shared_reset_deviation_scale,beta,beta_zero_scale,parameter_confidence_ratio,max_edge_confidence_ratio,raw_certificate_increment,clipped_certificate_increment,certificate_slack,cumulative_universal_utilization,tracking_tube_utilization,trajectory_fluctuation_utilization,trajectory_deviation_utilization,phase_fluctuation_tube_utilization,phase_deviation_tube_utilization,reset_utilization,actuator_utilization,validity_utilization,theta_hat_l1,theta_hat_l2
TRAJ-MICRO-V1,12031,1,1,0-0;1-2;2-1,0-0;1-2;2-1,0,0-1;1-3;2-2,1,0.7836086943206387,0.8257786132029463,0.9489331423603438,0.7938154029054822,0.010206708584843571,0.010206708584843571,0.0548271522404341,0.0548271522404341,0.40920298813177725,0.275,0.617022922075394,0.609176296488316,0.6,0.6,0.9707193877191655,1.0,0.9730372946297503,0.1861615671754021,0.1861615671754021,1.0000000000000004,1.0000000000000004,0.0,0.9267021853616668,0.9009604579905095,0.0,0.0
TRAJ-MICRO-V1,12031,2,1,0-0;1-4;2-2,0-0;1-4;2-2,0,0-3;1-2;2-4,0,0.788978459447935,0.836062395441249,0.9436837056061294,0.7984630206612232,0.009484561213288244,0.009484561213288244,0.0548271522404341,0.0548271522404341,0.4339115712920817,0.275,0.19581123699223071,0.17694626934562935,0.6,0.6,0.9709472617273105,1.0,0.13477788094972848,0.1729902215547416,0.1729902215547416,1.0,1.0,0.46979051182415343,0.128359886618789,0.12479433421271154,1.0907985644004095,0.4540704092763398
TRAJ-MICRO-V1,12031,3,1,0-1;1-2;2-4,0-1;1-2;2-4,0,0-2;1-1;2-3,3,0.8195653477004256,0.8458163908130013,0.9689636623294292,0.8327624997352803,0.01319715203485471,0.01319715203485471,0.0548271522404341,0.0548271522404341,0.44020678821237114,0.275,0.15749001623537906,0.13601902231768498,0.6,0.6,0.9966571522939249,1.0,0.07136193802452433,0.24070467816714422,0.24070467816714422,1.0,1.0,0.1773894413117334,0.06796375049954696,0.06607586854122621,1.1436430878570296,0.4748628282637152
TRAJ-MICRO-V1,12031,4,1,0-2;1-0;2-1,0-2;1-0;2-1,0,0-1;1-3;2-2,3,0.808882209816023,0.8670505272142649,0.932912424855873,0.824898113836201,0.016015904020178058,0.016015904020178058,0.0548271522404341,0.0548271522404341,0.44444232750687607,0.275,0.12205102356577653,0.08498973812335654,0.6,0.6,0.9753569462088905,1.0,0.20915255710824926,0.29211628482806007,0.29211628482806007,0.9999999999999999,0.9999999999999999,0.7095577652469335,0.19919291153166593,0.19365977510023077,1.1718223868014561,0.48627164545350665
TRAJ-MICRO-V1,12031,5,1,0-2;1-3;2-1,0-2;1-3;2-1,0,0-3;1-2;2-4,1,0.8488994843378992,0.8795858535999742,0.9651127071490728,0.8533270666383225,0.004427582300423241,0.004427582300423241,0.0548271522404341,0.0548271522404341,0.44873829499594997,0.275,0.11705113124136095,0.07006838025118826,0.6,0.6,1.0091065575379121,1.0,0.17876976876675013,0.08075528491808068,0.08075528491808068,1.0,1.0,0.4419417382415922,0.17025692263500009,0.16552756367291677,1.1868951836675992,0.4899101646269152
TRAJ-MICRO-V1,12031,6,1,0-3;1-0;2-4,0-3;1-0;2-4,0,0-2;1-1;2-3,1,0.8248575975638571,0.8810982018639552,0.9361698796103299,0.8231551082049421,-0.0017024893589150346,-0.0017024893589150346,0.0548271522404341,0.0548271522404341,0.45163197958255524,0.275,0.11547270928990666,0.08825059493452857,0.6,0.6,0.9843084966318796,1.0000000000000002,0.08682851868336976,0.031051938489328967,0.031051938489328967,1.0,1.0,0.21245914639969937,0.082693827317495,0.08039677655867569,1.1906286859495285,0.4909425353455336
TRAJ-MICRO-V1,12031,7,1,0-3;1-4;2-0,0-3;1-4;2-0,0,0-1;1-3;2-4,1,0.8123999472114096,0.8983607958820397,0.9043136687791113,0.8073443365581656,-0.0050556106532440494,-0.0050556106532440494,0.0548271522404341,0.0548271522404341,0.454272618503403,0.275,0.11303727137689211,0.06168947779573769,0.6,0.6,0.9632195492703898,1.0,0.0857945568169687,0.09220998076051125,0.09220998076051125,1.0,1.0,0.17677669529663684,0.08170910173044636,0.07943940446015618,1.194445006007096,0.491875657789911
TRAJ-MICRO-V1,12031,8,1,0-4;1-1;2-2,0-4;1-1;2-2,0,0-3;1-2;2-4,2,0.829593716727208,0.9093104509432954,0.9123327636525114,0.8289507921206544,-0.0006429246065537092,-0.0006429246065537092,0.0548271522404341,0.0548271522404341,0.45677106206737494,0.275,0.11268401085298002,0.06831264872928655,0.6,0.6,0.9749384912555603,1.0,0.05774969479767783,0.0117263906710727,0.0117263906710727,1.0,1.0,0.04419417382415918,0.054999709331121735,0.05347193962747946,1.1933546780951467,0.4916342505445014
TRAJ-MICRO-V1,12031,9,1,0-4;1-3;2-2,0-4;1-3;2-2,0,0-2;1-4;2-3,2,0.8639678414622086,0.8974193156076434,0.9627248115082248,0.8694690780506635,0.005501236588454901,0.005501236588454901,0.0548271522404341,0.0548271522404341,0.45886278565369565,0.275,0.11173518452327179,0.0840386226033413,0.6,0.6,1.015258183658387,1.0,0.08446369819440831,0.10033781372284792,0.10033781372284792,1.0,1.0,0.29462782549439476,0.0804416173280079,0.07820712795778546,1.1945669074078373,0.4918680528142377
TRAJ-MICRO-V1,12031,10,1,0-0;1-3;2-1,0-0;1-3;2-1,0,0-1;1-3;2-4,3,0.8165290471194953,0.8958097125795992,0.9114983189545858,0.8336556792360245,0.017126632116529164,0.017126632116529164,0.0548271522404341,0.0548271522404341,0.4604564155175612,0.275,0.11122570438344137,0.06531405256252845,0.6,0.6,0.9686241908296956,0.9999999999999999,0.22660669885034476,0.3123750079417505,0.3123750079417505,0.9999999999999999,0.9999999999999999,0.665526368540137,0.215815903666995,0.2098210174540229,1.1960193447661347,0.4921676098705257
TRAJ-MICRO-V1,12031,11,1,0-1;1-0;2-3,0-1;1-0;2-3,0,0-3;1-2;2-4,0,0.7902041999609047,0.8777545424332182,0.9002564632367317,0.8137297492005842,0.023525549239679453,0.023525549239679453,0.0548271522404341,0.0548271522404341,0.4637448076489702,0.275,0.11006080751556042,0.06779663386024606,0.6,0.6,0.9513269287442956,0.9999999999999999,0.07135513661734261,0.42908574088460055,0.42908574088460055,1.0,1.0,0.04419417382415918,0.06795727296889771,0.06606957094198389,1.2,0.49272517164900675
TRAJ-MICRO-V1,12031,12,1,0-1;1-3;2-4,0-1;1-3;2-4,0,0-1;1-3;2-4,1,0.8522712347001742,0.8522712347001742,1.0,0.83657057352427,-0.01570066117590423,-0.01570066117590423,0.0548271522404341,0.0548271522404341,0.46658164920935374,0.275,0.09884163116194548,0.0748140982996337,0.6,0.6,1.026135617350087,0.9999999999999999,0.2471811169868973,0.2863665270640348,0.2863665270640348,1.0,1.0,0.6167863059619776,0.2354105876065688,0.22887140461749747,1.2,0.4927845374650495
TRAJ-MICRO-V1,12031,13,1,0-2;1-1;2-0,0-2;1-1;2-0,0,0-1;1-3;2-4,2,0.7442943693196568,0.8644608055205617,0.8609926147796336,0.7253761681978765,-0.01891820112178027,-0.01891820112178027,0.0548271522404341,0.0548271522404341,0.46867071609431354,0.275,0.10345437455508626,0.060589848985375214,0.6,0.6,0.9120639665593759,0.9999999999999998,0.23753203145104354,0.34505168240032014,0.34505168240032014,0.9999999999999999,0.9999999999999999,0.8869472065586669,0.22622098233432716,0.21993706615837363,1.2,0.4926607093167356
TRAJ-MICRO-V1,12031,14,1,0-2;1-4;2-1,0-2;1-4;2-1,0,0-0;1-2;2-4,3,0.7974630816030026,0.8674030302418152,0.9193685677817903,0.8007958315289107,0.0033327499259080727,0.0033327499259080727,0.0548271522404341,0.0548271522404341,0.47022933701258923,0.275,0.10702323868412837,0.07847047346194144,0.6,0.6,0.963761566482095,0.9999999999999998,0.15951005210456617,0.060786486069765736,0.060786486069765736,0.9999999999999999,0.9999999999999999,0.6167863059619776,0.15191433533768206,0.14769449268941312,1.2,0.49266621244366116
