episode,cumulative_retention_mean,cumulative_retention_se,cumulative_certificate_mean,cumulative_certificate_se,cumulative_raw_certificate_mean,cumulative_raw_certificate_se,zero_scale_difference_mean,zero_scale_difference_se,parameter_confidence_max,tracking_utilization_max,return_deviation_utilization_max
1,0.9489331423603439,3.347448369359225e-17,1.0,0.0,1.0,0.0,0.0,0.0,0.617022922075394,0.9730372946297503,0.46258885432726493
2,0.9462921817361827,6.69489673871845e-17,1.0,0.0,1.0,0.0,0.0,0.0,0.2599192687033175,0.17501225664170078,0.3055009464218522
3,0.9539391234172583,6.69489673871845e-17,1.0,0.0,1.0,0.0,0.0,0.0,0.21313449309947893,0.11171384031915753,0.3295099330115111
4,0.9485368158785411,6.69489673871845e-17,1.0,0.0,1.0,0.0,0.0,0.0,0.18343015504800017,0.2612252807734025,0.4046624498795894
5,0.9519639227558295,6.69489673871845e-17,1.0,0.0,1.0,0.0,0.0,0.0,0.17740634918538267,0.1845093201950765,0.6601618874293322
6,0.9492540803398907,3.347448369359225e-17,1.0000000000000002,0.0,1.0,0.0,0.0,0.0,0.16095315517422526,0.12943656945345125,0.3726289573769851
7,0.9425629371355986,6.69489673871845e-17,1.0,0.0,1.0,0.0,0.0,0.0,0.16019824156084114,0.10404592166774569,0.4295550323191208
8,0.9386037894545951,3.347448369359225e-17,1.0,0.0,1.0,0.0,0.0,0.0,0.15290333691381006,0.10358336280220694,0.6287932957931027
9,0.9413646745123806,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1633198170582108,0.16101375837192908,0.38430924658346655
10,0.9383022115589305,0.0,0.9999999999999999,0.0,1.0,0.0,0.0,0.0,0.15877571734676127,0.24491868292691504,0.4832525771834058
11,0.934828666120028,0.0,0.9999999999999999,0.0,1.0,0.0,0.0,0.0,0.15665397882710994,0.09119550218066559,0.5368965780197728
12,0.9401355613444052,0.0,0.9999999999999999,0.0,1.0,0.0,0.0,0.0,0.15768215094026639,0.2471811169868973,0.49034904880820857
13,0.9340974966794832,3.347448369359225e-17,0.9999999999999999,3.347448369359225e-17,1.0,0.0,0.0,0.0,0.1449920028358081,0.3032407843996168,0.34505168240032014
14,0.9330501342369337,6.69489673871845e-17,0.9999999999999999,3.347448369359225e-17,1.0,0.0,0.0,0.0,0.14132315013488994,0.240031326872018,0.5436604744224365
15,0.9345487315081288,6.69489673871845e-17,0.9999999999999999,3.347448369359225e-17,1.0,0.0,0.0,0.0,0.1376732233413701,0.15025195507835878,0.6076866872248718
16,0.9338874055490973,6.69489673871845e-17,0.9999999999999999,3.347448369359225e-17,1.0,0.0,0.0,0.0,0.1396378476036667,0.22841918950240284,0.37409911078334007
17,0.9353734737885699,3.347448369359225e-17,0.9999999999999999,3.347448369359225e-17,1.0,0.0,0.0,0.0,0.1389126763758232,0.13988263626477654,0.49735695526069673
18,0.9356707434794488,0.0,0.9999999999999999,0.0,1.0,0.0,0.0,0.0,0.13807171428943585,0.14272340113688284,0.44239385463124886
19,0.9389250126306261,3.347448369359225e-17,0.9963076438451927,1.0042345108077677e-16,0.9963076438451933,6.69489673871845e-17,0.0,0.0,0.13688427597627004,0.09829466837446894,0.5399587337638752
20,0.941639353091491,2.3064196319484284e-05,0.9916943069946962,0.00010440582562200189,0.9916943069946963,0.00010440582562201639,0.375,0.0652791209833867,0.13666000562577385,0.1660242326899324,0.44533682482072445
21,0.9432208857853407,0.00021975694508552477,0.982578336377153,0.000532397591865072,0.9825783363771531,0.0005323975918650732,0.5277777777777778,0.049549032500880254,0.13659216281920825,0.1910693683894499,0.45303851969838055
22,0.9436391341113578,0.00021009687253454893,0.9787432726072106,0.0005085474938170585,0.9787432726072108,0.0005085474938170311,0.6041666666666666,0.04824901213203408,0.13995622574967684,0.2868406815254051,0.3934964674327344
23,0.9451163989311023,0.00019541503103418217,0.9778885525481501,0.0004810919021223343,0.9778885525481503,0.0004810919021223198,0.5833333333333333,0.03859920970562727,0.1349677490265252,0.1478638758216654,0.3554778403126657
24,0.9461017246915819,0.0002778308697436091,0.9767544275007491,0.0009704675597242147,0.9767544275007491,0.0009704675597242054,0.5972222222222222,0.03216600808802272,0.13489169741366064,0.24498064731717348,0.4339061628004276
25,0.9471913803104139,0.0002672224207819201,0.9743345425490548,0.0009326004188075721,0.9743345425490548,0.0009326004188075712,0.6547619047619048,0.027570864075448048,0.13432344593273027,0.21148335416260158,0.37886474125039477
26,0.9491259091741964,0.00025743330890793965,0.9701302375625159,0.0009224048842333127,0.9701302375625159,0.0009224048842333122,0.5729166666666666,0.024124506066017043,0.13340480348559913,0.13850035906993954,0.382827652542517
27,0.9492168550771583,0.00024863327589110575,0.9712365250602001,0.0008882417403728108,0.9714870105663578,0.0009086969710959964,0.6203703703703705,0.02144400539201514,0.13299672098566154,0.24726184256930236,0.5472369000109218
28,0.9507811266520004,0.00024038042649389036,0.9718572478608598,0.0008474288466913097,0.9720987874560829,0.000867155354524448,0.5583333333333332,0.01929960485281363,0.14162472248413138,0.20218826569237305,0.5568255113163918
29,0.95241730489094,0.00023238948326131261,0.9703183360142459,0.0008336050562925292,0.9705515466579095,0.0008525728067726809,0.5075757575757575,0.01754509532073966,0.14217871261613224,0.14136353659705034,0.48171351285363145
30,0.953113228209353,0.0002249914418015547,0.9713077248137708,0.0008058182210827638,0.9717937660226124,0.0007936260087304907,0.548611111111111,0.016083004044011365,0.14437522187538482,0.1012751576843539,0.3505861921743429
31,0.9531050128841523,0.0002178388336920819,0.9715931024450596,0.0008180241764832706,0.9720634649052289,0.0008056374451106744,0.5064102564102564,0.014845849886779712,0.14009128287461528,0.1411681450163572,0.554654690183963
32,0.9537462856263254,0.00021360938881527064,0.965685480371491,0.0008336795389352475,0.96614114400478,0.0008211764895073776,0.5416666666666666,0.01378543203772402,0.14680195829770507,0.209338438060111,0.41904295624894455
33,0.9533199204492715,0.00020716249736375074,0.9647080605145688,0.0008045757769903015,0.9651499161589703,0.0007925222584217378,0.5722222222222221,0.012866403235209087,0.14209178211900933,0.11008424106130357,0.3679977000300642
34,0.9528183062585981,0.00021905817106028004,0.9607743904202013,0.0010319510681419757,0.9612032503103555,0.0010199627952495113,0.5885416666666666,0.012062253033008521,0.1400531363899419,0.1380139871147002,0.5536046147287952
35,0.9538547809571604,0.00021946924030402293,0.9516850377665009,0.0010267319376519397,0.9521016445169367,0.0010150862929486054,0.5784313725490196,0.015918512566391943,0.14177799106392233,0.1522224536711454,0.4588579882477833
36,0.9535383416165439,0.00022065461886676527,0.9472230740905115,0.0009644099833361703,0.9476281084312129,0.0009536630401247211,0.5972222222222222,0.015481123028408685,0.1410296244903962,0.09631115516751912,0.6016498916966618
37,0.9547810496773047,0.00021475277887545328,0.9404252478845789,0.0009692534772414094,0.9408193353512075,0.0009589087693548431,0.5657894736842105,0.014666327079545075,0.14087873176266794,0.19754131088019036,0.47559804761096164
38,0.9557802407014916,0.00020924109962127858,0.9377411967015498,0.0009876831136206908,0.9381249134453721,0.000977501570508154,0.5375,0.013933010725567817,0.13874401199132597,0.11745155126946515,0.4112545156853332
39,0.9564190445307731,0.00020409620349616438,0.9357575025824733,0.0009618229352076902,0.9361313804354285,0.0009519792162086775,0.5515873015873015,0.014895976062094215,0.1400821672042098,0.09744848676641489,0.4240460505455015
40,0.9574722020557648,0.00019916410757904847,0.93082191087478,0.0009504328141159104,0.9311864417814113,0.0009408036109371659,0.5265151515151515,0.014218886241089933,0.1363003533199987,0.1155319984063757,0.30387251744783234
41,0.9578183357386982,0.0001783142876054519,0.9268923809313198,0.0008206960111181433,0.9272480208402283,0.000811695821424862,0.5289855072463767,0.01176585711428969,0.13772645601176756,0.18662434808466322,0.36280696074781865
42,0.9584522586906559,0.00017582317392126243,0.9219392454817279,0.0008136165701426757,0.9222864177737579,0.0008049717769586475,0.5381944444444445,0.014006759932028911,0.13746345246861844,0.15009524067094454,0.45638710265909144
43,0.9588218133400846,0.00020321762201097623,0.9166814983338506,0.0008494335194485307,0.917020596851647,0.0008409041597808528,0.5566666666666668,0.01344648953474775,0.13643687698857335,0.2027820420376925,0.48906900480763293
44,0.9590938543470857,0.0002730505898589356,0.9125717412010051,0.001007602830997481,0.9129031329343062,0.0010015026130828135,0.5608974358974358,0.01203136528092225,0.13616561637393873,0.1664685068962007,0.3643168925471791
