zero_based_index,one_based_index,matching_id,edge_1,edge_2,edge_3
0,1,0-0;1-1;2-2,0-0,1-1,2-2
1,2,0-0;1-1;2-3,0-0,1-1,2-3
2,3,0-0;1-1;2-4,0-0,1-1,2-4
3,4,0-0;1-2;2-1,0-0,1-2,2-1
4,5,0-0;1-2;2-3,0-0,1-2,2-3
5,6,0-0;1-2;2-4,0-0,1-2,2-4
6,7,0-0;1-3;2-1,0-0,1-3,2-1
7,8,0-0;1-3;2-2,0-0,1-3,2-2
8,9,0-0;1-3;2-4,0-0,1-3,2-4
9,10,0-0;1-4;2-1,0-0,1-4,2-1
10,11,0-0;1-4;2-2,0-0,1-4,2-2
11,12,0-0;1-4;2-3,0-0,1-4,2-3
12,13,0-1;1-0;2-2,0-1,1-0,2-2
13,14,0-1;1-0;2-3,0-1,1-0,2-3
14,15,0-1;1-0;2-4,0-1,1-0,2-4
15,16,0-1;1-2;2-0,0-1,1-2,2-0
16,17,0-1;1-2;2-3,0-1,1-2,2-3
17,18,0-1;1-2;2-4,0-1,1-2,2-4
18,19,0-1;1-3;2-0,0-1,1-3,2-0
19,20,0-1;1-3;2-2,0-1,1-3,2-2
20,21,0-1;1-3;2-4,0-1,1-3,2-4
21,22,0-1;1-4;2-0,0-1,1-4,2-0
22,23,0-1;1-4;2-2,0-1,1-4,2-2
23,24,0-1;1-4;2-3,0-1,1-4,2-3
24,25,0-2;1-0;2-1,0-2,1-0,2-1
25,26,0-2;1-0;2-3,0-2,1-0,2-3
26,27,0-2;1-0;2-4,0-2,1-0,2-4
27,28,0-2;1-1;2-0,0-2,1-1,2-0
28,29,0-2;1-1;2-3,0-2,1-1,2-3
29,30,0-2;1-1;2-4,0-2,1-1,2-4
30,31,0-2;1-3;2-0,0-2,1-3,2-0
31,32,0-2;1-3;2-1,0-2,1-3,2-1
32,33,0-2;1-3;2-4,0-2,1-3,2-4
33,34,0-2;1-4;2-0,0-2,1-4,2-0
34,35,0-2;1-4;2-1,0-2,1-4,2-1
35,36,0-2;1-4;2-3,0-2,1-4,2-3
36,37,0-3;1-0;2-1,0-3,1-0,2-1
37,38,0-3;1-0;2-2,0-3,1-0,2-2
38,39,0-3;1-0;2-4,0-3,1-0,2-4
39,40,0-3;1-1;2-0,0-3,1-1,2-0
40,41,0-3;1-1;2-2,0-3,1-1,2-2
41,42,0-3;1-1;2-4,0-3,1-1,2-4
42,43,0-3;1-2;2-0,0-3,1-2,2-0
43,44,0-3;1-2;2-1,0-3,1-2,2-1
44,45,0-3;1-2;2-4,0-3,1-2,2-4
45,46,0-3;1-4;2-0,0-3,1-4,2-0
46,47,0-3;1-4;2-1,0-3,1-4,2-1
47,48,0-3;1-4;2-2,0-3,1-4,2-2
48,49,0-4;1-0;2-1,0-4,1-0,2-1
49,50,0-4;1-0;2-2,0-4,1-0,2-2
50,51,0-4;1-0;2-3,0-4,1-0,2-3
51,52,0-4;1-1;2-0,0-4,1-1,2-0
52,53,0-4;1-1;2-2,0-4,1-1,2-2
53,54,0-4;1-1;2-3,0-4,1-1,2-3
54,55,0-4;1-2;2-0,0-4,1-2,2-0
55,56,0-4;1-2;2-1,0-4,1-2,2-1
56,57,0-4;1-2;2-3,0-4,1-2,2-3
57,58,0-4;1-3;2-0,0-4,1-3,2-0
58,59,0-4;1-3;2-1,0-4,1-3,2-1
59,60,0-4;1-3;2-2,0-4,1-3,2-2
