campaign_id,partition,trial_index,trial_seed,scenario_seed,feedback_seed,physical_seed,algorithm_seed,bootstrap_pairing_seed,exploration_seed,codebook_seed
SAT-COV-V1,design,1,363368426,4152013627,2927299744,4222279382,4273034613,1132208485,4419181297317888875,15777732514299142638
SAT-COV-V1,design,2,2478111479,3507133110,1158859472,1662164509,2783959326,3551049548,10891197846999836130,17864865415609705052
SAT-COV-V1,design,3,2168355107,2367493022,3436850371,1133049372,690463734,3014563130,6304386415979567940,18193029711345338371
SAT-COV-V1,design,4,3064264601,778682527,2462197983,2779901281,2490963397,1505188588,2445386058431776480,14414073678492505336
SAT-COV-V1,evaluation,1,2741194845,3623422097,751888761,338667634,2268554669,1844552926,13643960636912273621,10732493232418781552
SAT-COV-V1,evaluation,2,206131323,678958299,786433017,1149850935,2669281408,2420389299,3835587959348460972,6979482674918357905
SAT-COV-V1,evaluation,3,2577444918,3275154021,3499156425,2809986906,4284323996,2349486444,11194769650297982773,7975489561961891908
SAT-COV-V1,evaluation,4,3303199897,3937457212,2680907689,2715771920,929244857,249270438,12527929574473659736,12184854834672215700
SAT-COV-V1,evaluation,5,3959778480,4155991149,1674897652,2837869227,3038833960,3131682646,482855701350302786,10777585929820690791
SAT-COV-V1,evaluation,6,695871991,1752580157,3326704863,3877343207,907741874,3499517226,6527631232154801515,3461514919257231318
SAT-COV-V1,evaluation,7,2481130585,2075232909,1728518889,908766323,688332817,676050592,18307063732682690505,10273763978915621768
SAT-COV-V1,evaluation,8,2952661672,450448835,210775920,959047478,1078703491,1781906712,16625074102805607384,6154536069640519331
SAT-COV-V1,evaluation,9,2789097557,1654165527,2749315525,195104262,1065753999,487298199,12065066005783031194,10545298597641614933
SAT-COV-V1,evaluation,10,3770935242,3892193042,624650533,800248777,1237917007,1827530816,17455152241632573927,8073664188998928484
SAT-COV-V1,evaluation,11,1241856226,3274572183,1767387448,3971565499,1266723903,929617706,4419927734688112869,4212285556787607205
SAT-COV-V1,evaluation,12,2872687819,1400234950,2843004797,271325026,2083709475,2206448909,18009733733893117432,437584449331515976
SAT-COV-V1,evaluation,13,1758217708,105898924,4012200705,3589312086,1235125259,3586996195,10802352732900457293,5874264742617189438
SAT-COV-V1,evaluation,14,3271508268,2455725240,1429598295,2797277812,789191387,2454333614,18315015276702581312,1951207053715968960
SAT-COV-V1,evaluation,15,1849312567,3827503727,4259246345,550273487,2617984333,3074789496,5443409244865774659,6159514248311519120
SAT-COV-V1,evaluation,16,3955417291,2056413541,953001992,1728326260,3003678373,523289408,10698933162182064605,15112208774755738366
SAT-COV-V1,evaluation,17,2412623398,920597857,3160125490,2776700572,1445718147,2053378031,8492636122329798709,13303272769816745186
SAT-COV-V1,evaluation,18,2728955382,133404860,1735255984,1178060181,1020377508,1103568293,8103883702584679405,12478198196502339085
SAT-COV-V1,evaluation,19,864466825,854263916,489755835,981012429,575447397,4219524596,4022638393288011615,12270504394887118677
SAT-COV-V1,evaluation,20,1317254181,3669094855,3500522657,1733486153,3093225714,3945034125,1851577966404878990,17305423700557646938
SAT-COV-V1,evaluation,21,2334240942,4084608844,2851713373,3287044845,955288060,964425676,9167322847335525104,10236982245425872640
SAT-COV-V1,evaluation,22,1016866258,3525776901,3377760139,1950012205,2086008501,3012255310,11171115318242393287,1298961504965895084
SAT-COV-V1,evaluation,23,3318762893,3379032548,2362798412,2373024869,2699660497,193463383,905071450675091833,16251751152128959273
SAT-COV-V1,evaluation,24,2893925681,1853904816,3430115189,81467686,839121124,3504692165,17308394729854018591,12306233877591800843
SAT-COV-V1,evaluation,25,3387925955,738616870,2447756307,3882512007,3048240558,232623910,17541768817603908219,13985302677284117184
SAT-COV-V1,evaluation,26,2757099047,3053714553,1828217031,2949401995,3355708892,338171517,12651023856277615417,6865827461323023140
SAT-COV-V1,evaluation,27,2983764640,2296566318,3544924526,804829097,423219915,1867570463,18199796110336217998,684528431490758249
SAT-COV-V1,evaluation,28,3576438341,1140508960,2643326253,3772007681,3134073773,3831660364,15632221021580327675,18129676120010166365
SAT-COV-V1,evaluation,29,3544950946,225486069,867265286,1292251044,2937962562,1488238230,17030589823574080546,3716635243504583888
SAT-COV-V1,evaluation,30,3460135484,1608395285,1510421878,2628888325,2542552741,870076840,9431008521039337788,9859515552202014103
SAT-COV-V1,evaluation,31,399101688,3816749275,3413960075,3572654496,3884390152,1691424227,10185689276989586129,10617378276848827659
SAT-COV-V1,evaluation,32,2362500358,1886384280,1096779418,479892048,2536471090,2918562815,13564891829380527360,16459937392407566163
UAV-AG-V1,design,1,3178653856,3113000784,914273712,100078358,1997419537,266997486,2253641839873688339,3722030266720052300
UAV-AG-V1,design,2,554476648,279333395,1517212581,3041822974,3751633822,2906092579,14634185050579285855,4759989602568270094
UAV-AG-V1,design,3,3821708135,2042280198,3328706287,3159301308,1853175747,3972180687,7051312170561453271,10680751133867748945
UAV-AG-V1,design,4,2848728769,2678216542,675457900,2792744838,1900392307,1616453396,10418126257835141440,14282734396957259241
UAV-AG-V1,evaluation,1,1454570649,2381328253,1740676579,1679430948,3838898491,567604490,17936211001114362953,17704080191791461036
UAV-AG-V1,evaluation,2,1395486123,2455900704,2976742213,1761894595,3470700743,1639985198,12763572454123880267,9605769769265339691
UAV-AG-V1,evaluation,3,284347057,1292481907,148347259,1233680057,3533351081,3660501000,12161445585297109930,15548480562776755067
UAV-AG-V1,evaluation,4,402731510,4059503554,1767601560,4247709560,4109641407,3525126891,16623753656436468699,14274141899368266568
UAV-AG-V1,evaluation,5,3235176392,3196366921,44630362,3483518074,123487447,3157558600,3274062596840469058,9858847493736285071
UAV-AG-V1,evaluation,6,1046969258,2736585460,123444313,3513361382,3126376002,778746419,12500261455699990820,11293120230406187028
UAV-AG-V1,evaluation,7,752019423,1364152866,2933496070,4229255975,335858995,2071945965,497928601486531882,15017706826907350321
UAV-AG-V1,evaluation,8,1864942186,2554853733,955467579,515297785,1183748599,3497234661,4655075721604800641,4187230148269939
UAV-AG-V1,evaluation,9,1366032127,3129684037,2011800777,77233633,566793584,2094087996,620744410807153962,7411369463429962607
UAV-AG-V1,evaluation,10,2820160598,684925886,999458765,589385857,3964182815,1958627858,14498568559247931919,8325780013455847367
UAV-AG-V1,evaluation,11,1635921320,2121068875,1283729073,935672887,1120466142,1340224009,13140038107157432904,9544040096311728389
UAV-AG-V1,evaluation,12,3724624006,1316323742,2170525562,687835631,999614425,3135433906,3355687115262688571,16746441313600198141
UAV-AG-V1,evaluation,13,843794362,1121195106,3073520006,1329554766,2637270733,3924783500,18411933607762702021,6283520718477414581
